matrix,target
lhr34,row-wise
mesh_deform,row-wise
psmigr_3,row-wise
c-62ghs,row-wise
scsd8-2c,row-wise
lhr07,row-wise
c-66,row-wise
scagr7-2r,row-wise
gen4,row-wise
bcircuit,row-wise
scsd8-2b,row-wise
juba40k,row-wise
lhr17c,row-wise
bayer01,row-wise
lhr34c,row-wise
lhr10c,row-wise
c-56,row-wise
c-59,row-wise
c-46,entry-wise
a5esindl,row-wise
aug3dcqp,row-wise
lhr11c,row-wise
c-66b,row-wise
lhr07c,row-wise
Zhao2,row-wise
c-70,row-wise
lhr14c,row-wise
crystm01,row-wise
rail_79841,row-wise
t2dah_e,row-wise
rail_20209,row-wise
poisson3Da,row-wise
minsurfo,row-wise
t3dl_a,row-wise
Zhao1,row-wise
copter2,row-wise
c-53,entry-wise
circuit_4,row-wise
mri1,row-wise
c-39,row-wise
baxter,row-wise
thermal1,row-wise
cage10,row-wise
nemeth15,row-wise
nemeth19,row-wise
ex40,row-wise
cage11,row-wise
gyro_m,row-wise
helm3d01,row-wise
rajat17,row-wise
nemeth20,row-wise
wang4,row-wise
chipcool0,row-wise
Dubcova1,row-wise
epb3,row-wise
Ill_Stokes,row-wise
crystk02,row-wise
nemeth14,row-wise
thermomech_TC,row-wise
fp,row-wise
finan512,row-wise
bratu3d,row-wise
nemeth17,row-wise
mri2,row-wise
nemeth09,row-wise
nemeth18,row-wise
epb2,row-wise
chipcool1,row-wise
wang3,row-wise
3D_28984_Tetra,row-wise
nemeth11,row-wise
stokes64,row-wise
nemeth10,row-wise
crystm03,row-wise
crystm02,row-wise
stokes128,row-wise
nemeth03,row-wise
crystk01,row-wise
nemeth08,row-wise
nemeth06,row-wise
nemeth04,row-wise
nemeth05,row-wise
nemeth02,row-wise
nemeth13,row-wise
c-48,row-wise
FEM_3D_thermal1,row-wise
nemeth12,row-wise
bcsstm36,row-wise
nemeth16,row-wise
nemeth07,row-wise
c-55,row-wise
Muu,row-wise
patents_main,row-wise
t3dl,row-wise
stat96v4,row-wise
HTC_336_4438,row-wise
rajat18,row-wise
c-51,row-wise
obstclae,row-wise
torsion1,row-wise
mult_dcop_03,row-wise
c-42,entry-wise
mult_dcop_02,row-wise
c-72,row-wise
ibm_matrix_2,row-wise
3D_51448_3D,row-wise
c-50,row-wise
